Feature,Importance
time_delta,0.9421817617890937
device_mean_deviation,0.03134193110724536
z_score,0.008486159668828264
rolling_std,0.007640919331105388
rolling_max,0.0038302067999400335
sensor_message_count,0.001660309662317937
percentage_change,0.0014061396551478848
device_message_count,0.000869090409961561
rolling_min,0.0008619256665411704
value,0.0006931871345924359
value_change,0.0006375306077094733
rolling_mean,0.0003908381675167726
unit_°C,4.012775959741721e-18
is_duplicate_value,0.0
topic_factory/line1/pressure,0.0
topic_factory/line1/temperature,0.0
device_id_fake_pressure_sensor,0.0
device_id_fake_temperature_sensor,0.0
device_id_pressure_sensor_01,0.0
device_id_temperature_sensor_01,0.0
sensor_type_pressure,0.0
sensor_type_temperature,0.0
unit_kPa,0.0
status_NORMAL,0.0
source_simulator,0.0
