Feature,Importance
time_delta,0.6232942694216781
z_score,0.09803523309606801
rolling_max,0.04064006200100946
rolling_std,0.03511099297216076
value,0.03488725388020762
rolling_min,0.03470578242408851
percentage_change,0.02095189987746479
value_change,0.020567921548607423
device_id_fake_pressure_sensor,0.016543486950585776
device_id_fake_temperature_sensor,0.015782742521750028
rolling_mean,0.015132985159868832
device_message_count,0.014954350172734665
sensor_message_count,0.012597970204517283
device_id_temperature_sensor_01,0.006662542519697578
device_id_pressure_sensor_01,0.00597867593991394
topic_factory/line1/pressure,0.001131140420280532
sensor_type_pressure,0.0008351491324040875
is_duplicate_value,0.0007112967373517739
unit_kPa,0.0005294332831375713
sensor_type_temperature,0.0003860483853546198
topic_factory/line1/temperature,0.00028493902892024397
unit_°C,0.00027582432219832074
status_NORMAL,0.0
source_simulator,0.0
