Feature,Importance
time_delta,0.7259457
device_mean_deviation,0.13640605
z_score,0.033479013
rolling_min,0.01657476
rolling_max,0.014462985
rolling_std,0.012739019
value,0.009094814
percentage_change,0.008936393
rolling_mean,0.008686669
device_message_count,0.007906164
sensor_message_count,0.007694552
value_change,0.0074181077
is_duplicate_value,0.006611477
device_id_pressure_sensor_01,0.0040442813
sensor_type_pressure,0.0
status_NORMAL,0.0
unit_°C,0.0
unit_kPa,0.0
sensor_type_temperature,0.0
device_id_fake_temperature_sensor,0.0
device_id_temperature_sensor_01,0.0
device_id_fake_pressure_sensor,0.0
topic_factory/line1/temperature,0.0
topic_factory/line1/pressure,0.0
source_simulator,0.0
