record_id,timestamp,topic,device_id,sensor_type,value,unit,status,attack_type,label,source,sequence_number
1,2026-09-12T19:23:07.558445,factory/line1/temperature,temperature_sensor_01,temperature,26.95,Â°C,RUNNING,,0,simulator,1
2,2026-09-12T19:23:07.558507,factory/line1/current,current_sensor_01,current,6.0,A,RUNNING,,0,simulator,2
3,2026-09-12T19:23:07.558528,factory/line1/rpm,rpm_sensor_01,rpm,750.0,RPM,RUNNING,,0,simulator,3
4,2026-09-12T19:23:07.558921,factory/line1/vibration,vibration_sensor_01,vibration,0.17,g,RUNNING,,0,simulator,4
5,2026-09-12T19:23:07.558954,factory/line1/voltage,voltage_sensor_01,voltage,222.97,V,RUNNING,,0,simulator,5
6,2026-09-12T19:23:07.558977,factory/line1/pressure,pressure_sensor_01,pressure,40.0,kPa,RUNNING,,0,simulator,6
7,2026-09-12T19:23:07.559180,factory/line1/flow,flow_sensor_01,flow,40.0,L/min,RUNNING,,0,simulator,7
8,2026-09-12T19:23:07.559207,factory/line1/current,current_sensor_01,current,6.0,A,RUNNING,,0,simulator,8
9,2026-09-12T19:23:07.559229,factory/line1/level,level_sensor_01,level,49.98,%,RUNNING,,0,simulator,9
10,2026-09-12T19:23:07.559250,factory/line1/temperature,temperature_sensor_01,temperature,25.6,Â°C,RUNNING,,0,simulator,10
11,2026-09-12T19:23:07.559269,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,11
12,2026-09-12T19:23:07.559292,factory/line1/humidity,humidity_sensor_01,humidity,51.77,%,RUNNING,,0,simulator,12
13,2026-09-12T19:23:07.559310,factory/line1/rpm,rpm_sensor_01,rpm,600.0,RPM,RUNNING,,0,simulator,13
14,2026-09-12T19:23:07.559482,factory/line1/current,current_sensor_01,current,3.0,A,RUNNING,,0,simulator,14
15,2026-09-12T19:23:07.559521,factory/line1/proximity,proximity_sensor_01,proximity,318.32,mm,RUNNING,,0,simulator,15
16,2026-09-12T19:23:07.559539,factory/line1/pressure,pressure_sensor_01,pressure,86.64,kPa,RUNNING,,0,simulator,16
17,2026-09-12T19:23:07.559558,factory/line1/temperature,temperature_sensor_01,temperature,25.0,Â°C,RUNNING,,0,simulator,17
