record_id,timestamp,topic,device_id,sensor_type,value,unit,status,attack_type,label,source,sequence_number
1,2026-09-14T18:00:52.690642,factory/line1/temperature,temperature_sensor_01,temperature,26.95,Â°C,RUNNING,,0,simulator,1
2,2026-09-14T18:00:52.690679,factory/line1/current,current_sensor_01,current,6.0,A,RUNNING,,0,simulator,2
3,2026-09-14T18:00:52.690694,factory/line1/rpm,rpm_sensor_01,rpm,750.0,RPM,RUNNING,,0,simulator,3
4,2026-09-14T18:00:52.691007,factory/line1/vibration,vibration_sensor_01,vibration,0.17,g,RUNNING,,0,simulator,4
5,2026-09-14T18:00:52.691037,factory/line1/voltage,voltage_sensor_01,voltage,236.94,V,RUNNING,,0,simulator,5
6,2026-09-14T18:00:52.691059,factory/line1/pressure,pressure_sensor_01,pressure,40.0,kPa,RUNNING,,0,simulator,6
7,2026-09-14T18:00:52.691298,factory/line1/flow,flow_sensor_01,flow,40.0,L/min,RUNNING,,0,simulator,7
8,2026-09-14T18:00:52.691323,factory/line1/current,current_sensor_01,current,6.0,A,RUNNING,,0,simulator,8
9,2026-09-14T18:00:52.691339,factory/line1/level,level_sensor_01,level,49.98,%,RUNNING,,0,simulator,9
10,2026-09-14T18:00:52.691352,factory/line1/temperature,temperature_sensor_01,temperature,25.6,Â°C,RUNNING,,0,simulator,10
11,2026-09-14T18:00:52.691363,factory/line1/pressure,pressure_sensor_01,pressure,101.3,kPa,RUNNING,,0,simulator,11
12,2026-09-14T18:00:52.691378,factory/line1/humidity,humidity_sensor_01,humidity,40.15,%,RUNNING,,0,simulator,12
13,2026-09-14T18:00:52.691400,factory/line1/rpm,rpm_sensor_01,rpm,600.0,RPM,RUNNING,,0,simulator,13
14,2026-09-14T18:00:52.691604,factory/line1/current,current_sensor_01,current,3.0,A,RUNNING,,0,simulator,14
15,2026-09-14T18:00:52.691634,factory/line1/proximity,proximity_sensor_01,proximity,323.64,mm,RUNNING,,0,simulator,15
16,2026-09-14T18:00:52.691653,factory/line1/pressure,pressure_sensor_01,pressure,86.64,kPa,RUNNING,,0,simulator,16
17,2026-09-14T18:00:52.691670,factory/line1/temperature,temperature_sensor_01,temperature,25.0,Â°C,RUNNING,,0,simulator,17
18,2026-09-14T18:00:52.691684,factory/line1/pressure,pressure_sensor_01,pressure,113.3,kPa,RUNNING,,0,simulator,18
19,2026-09-14T18:00:52.691698,factory/line1/current,current_sensor_01,current,6.0,A,RUNNING,,0,simulator,19
20,2026-09-14T18:00:53.710822,factory/line1/temperature,temperature_sensor_01,temperature,27.6,Â°C,RUNNING,,0,simulator,20
21,2026-09-14T18:00:53.710872,factory/line1/current,current_sensor_01,current,8.0,A,RUNNING,,0,simulator,21
22,2026-09-14T18:00:53.710897,factory/line1/rpm,rpm_sensor_01,rpm,900.0,RPM,RUNNING,,0,simulator,22
23,2026-09-14T18:00:53.711300,factory/line1/vibration,vibration_sensor_01,vibration,0.17,g,RUNNING,,0,simulator,23
24,2026-09-14T18:00:53.711348,factory/line1/voltage,voltage_sensor_01,voltage,230.55,V,RUNNING,,0,simulator,24
