timestamp,topic,device_id,sensor_type,value,unit,status,attack_type,label,source,sequence_number
2026-07-07T16:25:05.898514,factory/line1/temperature,temperature_sensor_01,temperature,28.2,°C,NORMAL,,0,simulator,1
2026-07-07T16:25:05.899243,factory/line1/pressure,pressure_sensor_01,pressure,100.7,kPa,NORMAL,,0,simulator,2
2026-07-07T16:25:07.904025,factory/line1/temperature,temperature_sensor_01,temperature,29.6,°C,NORMAL,,0,simulator,3
2026-07-07T16:25:07.903764,factory/line1/pressure,pressure_sensor_01,pressure,101.7,kPa,NORMAL,,0,simulator,4
2026-07-07T16:25:09.908610,factory/line1/pressure,pressure_sensor_01,pressure,102.1,kPa,NORMAL,,0,simulator,5
2026-07-07T16:25:09.908892,factory/line1/temperature,temperature_sensor_01,temperature,28.9,°C,NORMAL,,0,simulator,6
2026-07-07T16:25:11.913976,factory/line1/pressure,pressure_sensor_01,pressure,101.5,kPa,NORMAL,,0,simulator,7
2026-07-07T16:25:11.914719,factory/line1/temperature,temperature_sensor_01,temperature,28.7,°C,NORMAL,,0,simulator,8
2026-07-07T16:25:13.919316,factory/line1/temperature,temperature_sensor_01,temperature,29.7,°C,NORMAL,,0,simulator,9
2026-07-07T16:25:13.919849,factory/line1/pressure,pressure_sensor_01,pressure,101.1,kPa,NORMAL,,0,simulator,10
2026-07-07T16:25:15.925837,factory/line1/temperature,temperature_sensor_01,temperature,28.0,°C,NORMAL,,0,simulator,11
2026-07-07T16:25:15.926138,factory/line1/pressure,pressure_sensor_01,pressure,102.2,kPa,NORMAL,,0,simulator,12
2026-07-07T16:25:17.927010,factory/line1/temperature,temperature_sensor_01,temperature,27.7,°C,NORMAL,,0,simulator,13
2026-07-07T16:25:17.932460,factory/line1/pressure,pressure_sensor_01,pressure,101.5,kPa,NORMAL,,0,simulator,14
2026-07-07T16:25:19.928296,factory/line1/temperature,temperature_sensor_01,temperature,28.7,°C,NORMAL,,0,simulator,15
2026-07-07T16:25:19.935982,factory/line1/pressure,pressure_sensor_01,pressure,101.8,kPa,NORMAL,,0,simulator,16
2026-07-07T16:25:21.933987,factory/line1/temperature,temperature_sensor_01,temperature,28.0,°C,NORMAL,,0,simulator,17
2026-07-07T16:25:21.940630,factory/line1/pressure,pressure_sensor_01,pressure,102.5,kPa,NORMAL,,0,simulator,18
2026-07-07T16:25:23.936930,factory/line1/temperature,temperature_sensor_01,temperature,29.5,°C,NORMAL,,0,simulator,19
2026-07-07T16:25:23.945963,factory/line1/pressure,pressure_sensor_01,pressure,101.0,kPa,NORMAL,,0,simulator,20
2026-07-07T16:25:25.942463,factory/line1/temperature,temperature_sensor_01,temperature,29.1,°C,NORMAL,,0,simulator,21
2026-07-07T16:25:25.951207,factory/line1/pressure,pressure_sensor_01,pressure,102.3,kPa,NORMAL,,0,simulator,22
2026-07-07T16:25:27.904745,factory/line1/temperature,fake_temperature_sensor,temperature,28.13,°C,NORMAL,Spoofing Attack,1,simulator,23
2026-07-07T16:25:27.947950,factory/line1/temperature,temperature_sensor_01,temperature,29.7,°C,NORMAL,Spoofing Attack,1,simulator,24
2026-07-07T16:25:27.953914,factory/line1/pressure,pressure_sensor_01,pressure,102.0,kPa,NORMAL,Spoofing Attack,1,simulator,25
2026-07-07T16:25:28.009768,factory/line1/pressure,fake_pressure_sensor,pressure,100.54,kPa,NORMAL,Spoofing Attack,1,simulator,26
2026-07-07T16:25:28.115408,factory/line1/temperature,fake_temperature_sensor,temperature,27.76,°C,NORMAL,Spoofing Attack,1,simulator,27
2026-07-07T16:25:28.219323,factory/line1/pressure,fake_pressure_sensor,pressure,102.02,kPa,NORMAL,Spoofing Attack,1,simulator,28
2026-07-07T16:25:28.321151,factory/line1/temperature,fake_temperature_sensor,temperature,27.18,°C,NORMAL,Spoofing Attack,1,simulator,29
2026-07-07T16:25:28.426039,factory/line1/temperature,fake_temperature_sensor,temperature,27.35,°C,NORMAL,Spoofing Attack,1,simulator,30
2026-07-07T16:25:28.531686,factory/line1/pressure,fake_pressure_sensor,pressure,101.01,kPa,NORMAL,Spoofing Attack,1,simulator,31
2026-07-07T16:25:28.637317,factory/line1/pressure,fake_pressure_sensor,pressure,100.75,kPa,NORMAL,Spoofing Attack,1,simulator,32
2026-07-07T16:25:28.741129,factory/line1/pressure,fake_pressure_sensor,pressure,100.79,kPa,NORMAL,Spoofing Attack,1,simulator,33
2026-07-07T16:25:28.842045,factory/line1/temperature,fake_temperature_sensor,temperature,28.78,°C,NORMAL,Spoofing Attack,1,simulator,34
2026-07-07T16:25:28.946368,factory/line1/temperature,fake_temperature_sensor,temperature,28.7,°C,NORMAL,Spoofing Attack,1,simulator,35
2026-07-07T16:25:29.048632,factory/line1/pressure,fake_pressure_sensor,pressure,100.85,kPa,NORMAL,Spoofing Attack,1,simulator,36
2026-07-07T16:25:29.151960,factory/line1/pressure,fake_pressure_sensor,pressure,101.75,kPa,NORMAL,Spoofing Attack,1,simulator,37
2026-07-07T16:25:29.257387,factory/line1/pressure,fake_pressure_sensor,pressure,102.43,kPa,NORMAL,Spoofing Attack,1,simulator,38
